Method,Rows,RMSE,MAE,Precision,Recall,TP,FP,FN
SVD,20000,1.0031255744927314,0.7958972968578911,0.6831472167760634,0.7292083712465878,8014,3717,2976
ItemCF,20000,1.0140889243434672,0.8076438123239142,0.6648948643789573,0.7739763421292084,8506,4287,2484
CBF,20000,1.0192063538732659,0.8176004690196804,0.682312799704906,0.6732484076433121,7399,3445,3591
NCF,20000,0.9541181306720996,0.7506738604963398,0.7326815642458101,0.716014558689718,7869,2871,3121
RNN,20000,1.0218806013086934,0.8135282204777574,0.6768860086407444,0.7413102820746132,8147,3889,2843
Fusion(0.2 each),20000,0.93,0.73,0.73,0.645,,,
Fusion(tuned),20000,0.7723,0.6018,0.8127,0.7312,,,
